workload,tokens_per_expert,topology,network_latency_ms,network_energy_j,total_network_bytes,max_link_load_bytes,serialization_latency_ms,dominant_collective,dominant_tensor,feedback_converged,feedback_iterations
MoE ExpertFFN E16 T64,64,"Circulant {1,5,17}",0.7360032,0.202937204736,100663296.0,33030144.0,0.7340032,REDUCE_SCATTER,ExpertDown:Y,True,2
MoE ExpertFFN E16 T64,64,Torus 4x4x4,1.6807216,0.463856467968,100663296.0,75497472.0,1.6777216000000001,REDUCE_SCATTER,ExpertDown:Y,True,2
MoE ExpertFFN E16 T64,64,Mesh 4x4x4,2.2414621333333336,0.927712935936,100663296.0,100663296.0,2.2369621333333334,REDUCE_SCATTER,ExpertDown:Y,True,2
MoE ExpertFFN E16 T64,64,Ring 64,2.2180096000000002,0.202937204736,100663296.0,99090432.0,2.2020096000000002,REDUCE_SCATTER,ExpertDown:Y,True,2
MoE ExpertFFN E16 T256,256,"Circulant {1,5,17}",2.9380127999999996,0.811748818944,402653184.0,132120576.0,2.9360128,REDUCE_SCATTER,ExpertDown:Y,True,2
MoE ExpertFFN E16 T256,256,Torus 4x4x4,6.713886400000001,1.855425871872,402653184.0,301989888.0,6.710886400000001,REDUCE_SCATTER,ExpertDown:Y,True,2
MoE ExpertFFN E16 T256,256,Mesh 4x4x4,8.952348533333334,3.710851743744,402653184.0,402653184.0,8.947848533333334,REDUCE_SCATTER,ExpertDown:Y,True,2
MoE ExpertFFN E16 T256,256,Ring 64,8.824038400000001,0.811748818944,402653184.0,396361728.0,8.808038400000001,REDUCE_SCATTER,ExpertDown:Y,True,2
MoE ExpertFFN E16 T1024,1024,"Circulant {1,5,17}",11.7460512,3.246995275776,1610612736.0,528482304.0,11.7440512,REDUCE_SCATTER,ExpertDown:Y,True,2
MoE ExpertFFN E16 T1024,1024,Torus 4x4x4,26.8465456,7.421703487488,1610612736.0,1207959552.0,26.843545600000002,REDUCE_SCATTER,ExpertDown:Y,True,2
MoE ExpertFFN E16 T1024,1024,Mesh 4x4x4,35.795894133333334,14.843406974976,1610612736.0,1610612736.0,35.791394133333334,REDUCE_SCATTER,ExpertDown:Y,True,2
MoE ExpertFFN E16 T1024,1024,Ring 64,35.2481536,3.246995275776,1610612736.0,1585446912.0,35.232153600000004,REDUCE_SCATTER,ExpertDown:Y,True,2
MoE ExpertFFN E16 T4096,4096,"Circulant {1,5,17}",46.9782048,12.987981103104,6442450944.0,2113929216.0,46.9762048,REDUCE_SCATTER,ExpertDown:Y,True,2
MoE ExpertFFN E16 T4096,4096,Torus 4x4x4,107.37718240000001,29.686813949952,6442450944.0,4831838208.0,107.37418240000001,REDUCE_SCATTER,ExpertDown:Y,True,2
MoE ExpertFFN E16 T4096,4096,Mesh 4x4x4,143.17007653333332,59.373627899904,6442450944.0,6442450944.0,143.16557653333334,REDUCE_SCATTER,ExpertDown:Y,True,2
MoE ExpertFFN E16 T4096,4096,Ring 64,140.9446144,12.987981103104,6442450944.0,6341787648.0,140.92861440000001,REDUCE_SCATTER,ExpertDown:Y,True,2
